309.40	295.40	14.00
309.18	295.31	13.87
308.94	295.31	13.63
308.72	295.23	13.50
308.55	295.23	13.32
308.37	295.16	13.21
308.19	295.14	13.05
308.03	295.07	12.96
307.88	295.05	12.82
307.78	295.00	12.78
307.68	294.97	12.71
307.58	294.97	12.62
307.48	294.92	12.57
307.31	294.88	12.43
307.15	294.88	12.27
307.00	294.86	12.14
306.84	294.85	12.00
306.67	294.81	11.86
306.48	294.79	11.69
306.33	294.79	11.53
306.13	294.79	11.34
305.96	294.79	11.17
305.79	294.78	11.01
305.64	294.71	10.93
305.49	294.71	10.78
305.35	294.71	10.65
305.18	294.67	10.51
305.07	294.62	10.45
304.92	294.62	10.30
304.79	294.59	10.20
304.70	294.53	10.16
304.53	294.53	9.99
304.41	294.47	9.95
304.34	294.45	9.89
304.19	294.45	9.74
304.06	294.41	9.65
303.97	294.36	9.61
303.87	294.36	9.51
303.76	294.36	9.40
303.63	294.33	9.31
303.52	294.29	9.23
303.43	294.28	9.15
303.32	294.29	9.03
303.23	294.28	8.95
303.14	294.28	8.86
303.04	294.28	8.77
302.95	294.24	8.71
302.86	294.26	8.60
302.77	294.19	8.58
302.69	294.19	8.51
302.58	294.19	8.40
302.49	294.19	8.30
302.42	294.19	8.23
302.38	294.19	8.19
302.27	294.21	8.07
302.22	294.21	8.01
302.13	294.19	7.94
302.04	294.19	7.85
301.95	294.19	7.76
301.86	294.17	7.68
301.76	294.15	7.61
301.73	294.10	7.63
301.64	294.10	7.54
301.58	294.12	7.46
301.51	294.10	7.41
301.42	294.09	7.34
301.37	294.10	7.26
301.31	294.03	7.28
301.22	294.02	7.21
301.13	294.02	7.12
301.10	294.02	7.08
301.04	294.02	7.03
300.95	294.02	6.94
300.86	294.02	6.85
300.86	294.02	6.85
300.77	294.00	6.77
300.70	294.02	6.68
300.68	294.00	6.68
300.59	294.00	6.59
300.52	293.98	6.54
300.45	293.93	6.52
300.41	293.93	6.48
300.32	293.93	6.39
300.29	293.93	6.36
300.22	293.93	6.29
300.14	293.93	6.21
300.06	293.91	6.14
300.06	293.91	6.14
299.97	293.88	6.09
299.88	293.84	6.03
299.88	293.88	6.00
299.79	293.84	5.94
299.72	293.84	5.87
299.68	293.84	5.84
299.61	293.84	5.77
299.57	293.84	5.73
299.52	293.84	5.68
299.50	293.83	5.68
299.43	293.79	5.64
299.38	293.76	5.62
299.34	293.76	5.59
299.29	293.76	5.53
299.25	293.76	5.50
299.18	293.76	5.43
299.17	293.76	5.41
299.08	293.76	5.32
299.06	293.72	5.34
298.99	293.67	5.32
298.95	293.69	5.26
298.90	293.67	5.23
298.81	293.67	5.14
298.81	293.67	5.14
298.74	293.65	5.09
298.72	293.67	5.05
298.65	293.65	5.00
298.63	293.64	5.00
298.55	293.60	4.94
298.55	293.58	4.96
298.46	293.58	4.87
298.46	293.58	4.87
298.37	293.58	4.79
298.37	293.58	4.79
298.28	293.58	4.70
298.21	293.53	4.68
298.19	293.55	4.64
298.16	293.50	4.66
298.11	293.50	4.61
298.05	293.50	4.55
298.02	293.50	4.52
297.97	293.50	4.47
297.93	293.50	4.43
297.93	293.48	4.45
297.86	293.48	4.38
297.84	293.48	4.36
297.82	293.50	4.33
297.75	293.43	4.32
297.75	293.41	4.34
297.67	293.41	4.25
297.67	293.41	4.25
297.58	293.41	4.17
297.58	293.43	4.15
297.49	293.41	4.08
297.49	293.41	4.08
297.40	293.41	3.99
297.39	293.41	3.97
297.32	293.41	3.90
297.32	293.41	3.90
